standard,hiqa_id,element,applies_to,conformance,cardinality,hiqa_datatype,profile,path,ms,status,notes,lm_path
EP,6.4.3.5.4,Organisation who issued the Receiver’s (related person) personal identifier,D,Optional,0..1,Free text,IECoreRelatedPerson,RelatedPerson.identifier.assigner,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.receiverRelatedPersonPersonalIdentifier.organisationWhoIssuedTheReceiverSRelatedPersonPe
EP,6.4.3.6,Role of receiver (related person),D,Optional,0..1,Coded value,IECoreRelatedPerson,RelatedPerson.relationship,Y,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.roleOfReceiverRelatedPerson
EP,6.4.3.7,Relationship to the patient,D,Optional,0..1,Coded value,IECoreRelatedPerson,RelatedPerson.relationship,Y,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.relationshipToThePatient
EP,6.4.3.8,Address for receiver (related person) (cluster),D,Optional,0..1,,IECoreRelatedPerson,RelatedPerson.address,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.addressForReceiverRelatedPerson
EP,6.4.3.8.1,Postcode,D,Optional,0..1,Alpha-numeric,IECoreRelatedPerson,RelatedPerson.address.postalCode,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.addressForReceiverRelatedPerson.postcode
EP,6.4.3.8.2,Address line(s),D,Optional,0..1,Free text,IECoreRelatedPerson,RelatedPerson.address.line,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.addressForReceiverRelatedPerson.addressLineS
EP,6.4.3.8.3,Suburb/Town/ Townland/ Locality,D,Optional,0..1,Free text,IECoreRelatedPerson,RelatedPerson.address.city,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.addressForReceiverRelatedPerson.suburbTownTownlandLocality
EP,6.4.3.8.4,District/ County,D,Optional,0..1,Coded Value,IECoreRelatedPerson,RelatedPerson.address.state,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.addressForReceiverRelatedPerson.districtCounty
EP,6.4.3.8.5,Country,D,Optional,0..1,Coded value,IECoreRelatedPerson,RelatedPerson.address.country,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.addressForReceiverRelatedPerson.country
EP,6.4.3.9,Communication details for receiver (related person) (cluster),D,Optional,0..1,,IECoreRelatedPerson,RelatedPerson.telecom,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.communicationDetailsForReceiverRelatedPerson
EP,6.4.3.9.1,Mobile phone number of receiver,D,Optional,0..1,Alpha-numeric,IECoreRelatedPerson,RelatedPerson.telecom,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.communicationDetailsForReceiverRelatedPerson.mobilePhoneNumberOfReceiver
EP,6.4.3.9.2,Landline phone number of receiver,D,Optional,0..1,Alpha-numeric,IECoreRelatedPerson,RelatedPerson.telecom,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.communicationDetailsForReceiverRelatedPerson.landlinePhoneNumberOfReceiver
EP,6.4.3.9.3,Email address of receiver,D,Optional,0..1,Alpha-numeric,IECoreRelatedPerson,RelatedPerson.telecom,N,Aligned,Optional; linked via MedicationDispense extension:receiverRelatedPerson,HIQAEPrescriptionLM.medicationDispense.receiverOfTheMedicationItem.relatedPersonIsTheReceiver.communicationDetailsForReceiverRelatedPerson.emailAddressOfReceiver
EP,6.5,Prescription item identifier with related request,D,Required,0..1,Alpha-numeric,IECoreMedicationDispenseEDispensation,MedicationDispense.authorizingPrescription,Y,Aligned,1..1: stricter than HIQA 0..1 (OI-012),HIQAEPrescriptionLM.medicationDispense.prescriptionItemIdentifierWithRelatedRequest
EP,6.6,Dispensed medication,D,Mandatory,1..1,,IECoreMedicationDispenseEDispensation,MedicationDispense.medication[x],Y,Aligned,,HIQAEPrescriptionLM.medicationDispense.dispensedMedication
EP,6.7,Dispensed quantity value,D,Mandatory,1..1,Quantity,IECoreMedicationDispenseEDispensation,MedicationDispense.quantity,Y,Aligned,,HIQAEPrescriptionLM.medicationDispense.dispensedQuantityValue
EP,6.8,Date of dispensation,D,Mandatory,1..1,Datetime,IECoreMedicationDispenseEDispensation,MedicationDispense.whenHandedOver,Y,Aligned,enforced by invariant ie-md-handover-1 (required when completed; a non-dispensation has no hand-over),HIQAEPrescriptionLM.medicationDispense.dateOfDispensation
EP,6.9,Time of dispensation,D,Required,0..1,Time,IECoreMedicationDispenseEDispensation,MedicationDispense.whenHandedOver,Y,Aligned,time component,HIQAEPrescriptionLM.medicationDispense.timeOfDispensation
EP,6.10,Substitution occurred,D,Optional,0..1,Coded value (Boolean),IECoreMedicationDispenseEDispensation,MedicationDispense.substitution.wasSubstituted,Y,Aligned,,HIQAEPrescriptionLM.medicationDispense.substitutionOccurred
EP,6.11,Dosage instructions,D,Required,0..1,,IECoreMedicationDispenseEDispensation,MedicationDispense.dosageInstruction,Y,Aligned,,HIQAEPrescriptionLM.medicationDispense.dosageInstructions
EP,6.12,Additional information,D,Optional,0..*,Free text,IECoreMedicationDispenseEDispensation,MedicationDispense.note,N,Aligned,,HIQAEPrescriptionLM.medicationDispense.additionalInformation
EP,—,ethnicity,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.extension:ethnicity,N,Prohibited (enforced),0..0 in the ePrescription patient (ADR-002); GDPR Art. 9,
EP,—,mothersMaidenName,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.extension:mothersMaidenName,N,Prohibited (enforced),0..0 (ADR-002); identity: HZ-06,
EP,—,nationality,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.extension:patient-nationality,N,Prohibited (enforced),0..0 (EU Base slice constrained),
EP,—,maritalStatus,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.maritalStatus,N,Prohibited (enforced),0..0,
EP,—,religion,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.extension:religion,N,Prohibited (enforced),0..0; GDPR Art. 9,
EP,—,pronouns,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.extension:pronouns,N,Prohibited (enforced),0..0 (EU Base slice constrained),
EP,—,birthPlace,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.extension:birthPlace,N,Prohibited (enforced),0..0 (EU Base slice constrained),
EP,—,citizenship,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.extension:patient-citizenship,N,Prohibited (enforced),0..0,
EP,—,mothersFormerSurname,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.extension:mothersFormerSurname,N,Prohibited (enforced),0..0,
EP,—,countryOfAffiliation,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.extension:countryOfAffiliation,N,Prohibited (enforced),0..0,
EP,—,interpreterRequired,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.extension:interpreterRequired,N,Prohibited (enforced),0..0,
EP,—,contact,,Not in dataset,0..0,,IECorePatientEPrescription,Patient.contact,N,Prohibited (enforced),0..0: third-party data; the receiver is on the dispense (EP 6.4),
PS,1.1.1,Name title,,Optional,0..*,Coded value,IECorePatientSummaryPatient,Patient.name.prefix,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.nameDetails.nameTitle
PS,1.1.2,Forename,,Mandatory,1..1,Free text,IECorePatientSummaryPatient,Patient.name.given,Y,Aligned,given 1..*,HIQAPatientSummaryLM.patientDetails.nameDetails.forename
PS,1.1.3,Middle name (s),,Required,0..1,Free text,IECorePatientSummaryPatient,Patient.name.given,Y,Aligned,second and later given names,HIQAPatientSummaryLM.patientDetails.nameDetails.middleNameS
PS,1.1.4,Surname,,Mandatory,1..1,Free text,IECorePatientSummaryPatient,Patient.name.family,Y,Aligned,family 1..1,HIQAPatientSummaryLM.patientDetails.nameDetails.surname
PS,1.1.5,Name suffix,,Optional,0..*,Coded value,IECorePatientSummaryPatient,Patient.name.suffix,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.nameDetails.nameSuffix
PS,1.1.6,Former names,,Required,0..*,Free text,IECorePatientSummaryPatient,Patient.name.use,Y,Aligned,name.use = old,HIQAPatientSummaryLM.patientDetails.nameDetails.formerNames
PS,1.1.7,Preferred name,,Required,0..1,Free text,IECorePatientSummaryPatient,Patient.name.use,Y,Aligned,name.use = usual,HIQAPatientSummaryLM.patientDetails.nameDetails.preferredName
PS,1.2.1,Postcode,,Required,0..1,Alpha-numeric,IECorePatientSummaryPatient,Patient.address.postalCode,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.address.postcode
PS,1.2.2,Address line(s),,Mandatory,1..1,Free text,IECorePatientSummaryPatient,Patient.address.line,Y,Aligned,"address 1..*, line 1..*",HIQAPatientSummaryLM.patientDetails.address.addressLineS
PS,1.2.3,Suburb/ Town/ Townland/ Locality,,Required,0..1,Free text,IECorePatientSummaryPatient,Patient.address.city,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.address.suburbTownTownlandLocality
PS,1.2.4,District/ County,,Mandatory,1..1,Coded Value,IECorePatientSummaryPatient,Patient.address.state,Y,Aligned,state 1..1,HIQAPatientSummaryLM.patientDetails.address.districtCounty
PS,1.2.5,Country,,Required,0..1,Coded value,IECorePatientSummaryPatient,Patient.address.country,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.address.country
PS,1.2.6,Address type,,Mandatory,1..1,Coded value,IECorePatientSummaryPatient,Patient.address.use,Y,Partial,use 1..1 MS; no HL7 code for homelessness (Requires Clarification),HIQAPatientSummaryLM.patientDetails.address.addressType
PS,1.2.7,Address use,,Optional,0..1,Coded value,IECorePatientSummaryPatient,Patient.address.type,N,Aligned,,HIQAPatientSummaryLM.patientDetails.address.addressUse
PS,1.3.1,Individual Health Identifier (IHI),,Required,0..1,Numeric,IECorePatientSummaryPatient,Patient.identifier,Y,Aligned,IHI slice (18 or 10 digits) imposed by IECorePatient,HIQAPatientSummaryLM.patientDetails.identifiers.individualHealthIdentifierIhi
PS,1.3.2,Personal Public Service Number,,Required,0..1,Alpha-numeric,IECorePatientSummaryPatient,Patient.identifier:PPSN,N,Partial,deliberately NOT MustSupport (OI-008),HIQAPatientSummaryLM.patientDetails.identifiers.personalPublicServiceNumber
PS,1.3.3,Other identifiers used in health and social care details (cluster),,Required,0..*,,IECorePatientSummaryPatient,Patient.identifier,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.identifiers.otherIdentifiersUsedInHealthAndSocialCareDetails
PS,1.3.3.1,Other identifiers used in health and social care – type,,Required,0..1,Coded value,IECorePatientSummaryPatient,Patient.identifier.type,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.identifiers.otherIdentifiersUsedInHealthAndSocialCareDetails.otherIdentifiersUsedInHealthAndSocialCareType
PS,1.3.3.2,Other identifiers used in health and social care- value,,Required,0..1,Alpha-numeric,IECorePatientSummaryPatient,Patient.identifier.value,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.identifiers.otherIdentifiersUsedInHealthAndSocialCareDetails.otherIdentifiersUsedInHealthAndSocialCareValue
PS,1.3.3.3,Other identifier used in health and social care - time period,,Required,0..1,Period,IECorePatientSummaryPatient,Patient.identifier.period,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.identifiers.otherIdentifiersUsedInHealthAndSocialCareDetails.otherIdentifierUsedInHealthAndSocialCareTimePeri
PS,1.3.3.4,Organisation who issued the other identifier used in health and social care,,Required,0..1,Free text,IECorePatientSummaryPatient,Patient.identifier.assigner,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.identifiers.otherIdentifiersUsedInHealthAndSocialCareDetails.organisationWhoIssuedTheOtherIdentifierUsedInHea
PS,1.3.4,Health insurance information (cluster),,Required,0..*,,IECoreBundlePatientSummary,Bundle.entry:coverage,Y,Aligned,IECoreCoverage entries in the PS Bundle,HIQAPatientSummaryLM.patientDetails.identifiers.healthInsuranceInformation
PS,1.3.4.1,Health insurance- type,,Required,0..1,Coded value,IECoreCoverage,Coverage.type,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.identifiers.healthInsuranceInformation.healthInsuranceType
PS,1.3.4.2,Health insurance- value,,Required,0..1,Alpha-numeric,IECoreCoverage,Coverage.subscriberId,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.identifiers.healthInsuranceInformation.healthInsuranceValue
PS,1.3.4.3,Name of organisation providing health insurance,,Required,0..1,Coded value,IECoreCoverage,Coverage.payor,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.identifiers.healthInsuranceInformation.nameOfOrganisationProvidingHealthInsurance
PS,1.4.1,Date of birth,,Mandatory,1..1,Datetime,IECorePatientSummaryPatient,Patient.birthDate,Y,Aligned,HIQA: unknown DOB = 1900-01-01,HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.dateOfBirth
PS,1.4.2,Estimated age (cluster),,Optional,0..1,,IECorePatient,,N,Gap,estimated age; Optional,HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.estimatedAge
PS,1.4.2.1,Estimated age - value,,Optional,0..1,Numeric,IECorePatient,,N,Gap,,HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.estimatedAge.estimatedAgeValue
PS,1.4.2.2,Estimated age - type,,Optional,0..1,Coded value,IECorePatient,,N,Gap,,HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.estimatedAge.estimatedAgeType
PS,1.4.3,Place of birth,,Required,0..1,Coded value,IECorePatientSummaryPatient,Patient.extension:birthPlace,Y,Aligned,"patient-birthPlace (EU Base slice), MS",HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.placeOfBirth
PS,1.4.4,Sex,,Mandatory,1..1,Coded value,IECorePatientSummaryPatient,Patient.extension:sexAssignedAtBirth,Y,Aligned,"recordedSexOrGender, type LOINC 76689-9, 1..1 MS",HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.sex
PS,1.4.5,Gender (cluster),,Required,0..1,,IECorePatientSummaryPatient,Patient.extension:gender-identity,Y,Aligned,0..1 MS,HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.gender
PS,1.4.5.1,Gender,,Required,0..1,Coded value,IECorePatientSummaryPatient,Patient.extension:gender-identity,Y,Partial,binding not yet verified (Phase 7),HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.gender.gender
PS,1.4.5.2,Other gender identity,,Optional,0..1,Free text,IECorePatientSummaryPatient,Patient.extension:gender-identity,N,Aligned,valueCodeableConcept.text,HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.gender.otherGenderIdentity
PS,1.4.6,Mother's former surnames,,Required,0..*,Free text,IECorePatientSummaryPatient,Patient.extension:mothersFormerSurname,Y,Aligned,IECoreMothersFormerSurname 0..* MS (OI-011),HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.motherSFormerSurnames
PS,1.4.7,Nationality,,Required,0..*,Coded value,IECorePatientSummaryPatient,Patient.extension:patient-nationality,Y,Aligned,"patient-nationality (EU Base slice), MS",HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.nationality
PS,1.4.8,Country of affiliation,,Required,0..1,Coded value,IECorePatientSummaryPatient,Patient.extension:countryOfAffiliation,Y,Aligned,IECoreCountryOfAffiliation (ISO 3166),HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.countryOfAffiliation
PS,1.4.9,Preferred language,,Optional,0..*,Coded value,IECorePatientSummaryPatient,Patient.communication.language,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.preferredLanguage
PS,1.4.10,Ethnicity,,Required,0..*,Coded value,IECorePatientSummaryPatient,Patient.extension:ethnicity,Y,Partial,"0..* MS CodeableConcept; CSO classification to verify (OI-005, Phase 7)",HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.ethnicity
PS,1.4.11,Date of death,,Required,0..1,Datetime,IECorePatientSummaryPatient,Patient.deceased[x],Y,Aligned,deceasedDateTime,HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.dateOfDeath
PS,1.4.12,Cause of death,,Required,0..1,Coded value,IECorePatientSummaryPatient,,N,Gap,cause of death: no Patient element (Requires Clarification),HIQAPatientSummaryLM.patientDetails.additionalDemographicDetails.causeOfDeath
PS,1.5.1,Mobile phone number,,Required,0..*,Numeric (may include +),IECorePatientSummaryPatient,Patient.telecom,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.communicationDetails.mobilePhoneNumber
PS,1.5.2,Email address,,Required,0..*,Alpha-numeric (@),IECorePatientSummaryPatient,Patient.telecom,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.communicationDetails.emailAddress
PS,1.5.3,Other communication details (cluster),,Optional,0..*,,IECorePatientSummaryPatient,Patient.telecom,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.communicationDetails.otherCommunicationDetails
PS,1.5.3.1,Other communication details - type,,Optional,0..*,Coded value,IECorePatientSummaryPatient,Patient.telecom.system,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.communicationDetails.otherCommunicationDetails.otherCommunicationDetailsType
PS,1.5.3.2,Other communication details - value,,Optional,0..*,Alpha-numeric,IECorePatientSummaryPatient,Patient.telecom.value,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.communicationDetails.otherCommunicationDetails.otherCommunicationDetailsValue
PS,1.5.3.3,Other communication details - use,,Optional,0..*,Coded value,IECorePatientSummaryPatient,Patient.telecom.use,Y,Aligned,,HIQAPatientSummaryLM.patientDetails.communicationDetails.otherCommunicationDetails.otherCommunicationDetailsUse
PS,1.5.4,Preferred communication method,,Required,0..*,Coded value,IECorePatientSummaryPatient,Patient.telecom.rank,Y,Aligned,preferred method: rank = 1,HIQAPatientSummaryLM.patientDetails.communicationDetails.preferredCommunicationMethod
PS,2.1,Name title,,Optional,0..*,Coded value,IECorePractitioner,Practitioner.name.prefix,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.nameTitle
PS,2.2,Forename,,Mandatory,1..1,Free text,IECorePractitioner,Practitioner.name.given,Y,Partial,HIQA Mandatory 1..1,HIQAPatientSummaryLM.healthPractitionerDetails.forename
PS,2.3,Surname,,Mandatory,1..1,Free text,IECorePractitioner,Practitioner.name.family,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.surname
PS,2.4,Name suffix,,Optional,0..*,Coded value,IECorePractitioner,Practitioner.name.suffix,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.nameSuffix
PS,2.5,Health practitioner role and speciality (cluster),,Mandatory,1..*,,IECorePractitionerRole,PractitionerRole,Y,Partial,HIQA Mandatory 1..*; the PS has no mandatory GP / practitioner participant,HIQAPatientSummaryLM.healthPractitionerDetails.healthPractitionerRoleAndSpeciality
PS,2.5.1,Health Practitioner role,,Required,0..*,Coded value,IECorePractitionerRole,PractitionerRole.code,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.healthPractitionerRoleAndSpeciality.healthPractitionerRole
PS,2.5.2,Health practitioner specialty,,Required,0..*,Code value,IECorePractitionerRole,PractitionerRole.specialty,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.healthPractitionerRoleAndSpeciality.healthPractitionerSpecialty
PS,2.6,Health practitioner registration (cluster),,Mandatory,1..1,,IECorePractitioner,Practitioner.identifier,Y,Partial,HIQA Mandatory; IMC slice only (H-07),HIQAPatientSummaryLM.healthPractitionerDetails.healthPractitionerRegistration
PS,2.6.1,Health Professional body registration – type,,Mandatory,1..1,Coded value,IECorePractitioner,Practitioner.identifier.system,Y,Partial,,HIQAPatientSummaryLM.healthPractitionerDetails.healthPractitionerRegistration.healthProfessionalBodyRegistrationType
PS,2.6.2,Health Professional body registration – value,,Mandatory,1..1,Alpha-numeric,IECorePractitioner,Practitioner.identifier.value,Y,Partial,,HIQAPatientSummaryLM.healthPractitionerDetails.healthPractitionerRegistration.healthProfessionalBodyRegistrationValue
PS,2.7,Healthcare facility name,,Required,0..1,Free text,IECoreOrganization,Organization.name,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.healthcareFacilityName
PS,2.8,Healthcare facility identifier,,Required,0..1,Alpha-numeric,IECoreOrganization,Organization.identifier,Y,Partial,no PSI Retail Pharmacy Business registration number slice (H-09),HIQAPatientSummaryLM.healthPractitionerDetails.healthcareFacilityIdentifier
PS,2.9,Healthcare facility address (cluster),,Mandatory,1..1,,IECoreOrganization,Organization.address,Y,Partial,HIQA Mandatory,HIQAPatientSummaryLM.healthPractitionerDetails.healthcareFacilityAddress
PS,2.9.1,Postcode,,Mandatory,1..1,Alpha-numeric,IECoreOrganization,Organization.address.postalCode,Y,Partial,HIQA Mandatory,HIQAPatientSummaryLM.healthPractitionerDetails.healthcareFacilityAddress.postcode
PS,2.9.2,Address line(s),,Mandatory,1..1,Free text,IECoreOrganization,Organization.address.line,Y,Partial,HIQA Mandatory,HIQAPatientSummaryLM.healthPractitionerDetails.healthcareFacilityAddress.addressLineS
PS,2.9.3,Suburb/Town/ Townland/Locality,,Required,0..1,Free text,IECoreOrganization,Organization.address.city,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.healthcareFacilityAddress.suburbTownTownlandLocality
PS,2.9.4,District/ County,,Mandatory,1..1,Coded Value,IECoreOrganization,Organization.address.state,Y,Partial,HIQA Mandatory,HIQAPatientSummaryLM.healthPractitionerDetails.healthcareFacilityAddress.districtCounty
PS,2.9.5,Country,,Mandatory,1..1,Coded value,IECoreOrganization,Organization.address.country,Y,Partial,HIQA Mandatory,HIQAPatientSummaryLM.healthPractitionerDetails.healthcareFacilityAddress.country
PS,2.10,Communication details (cluster),,Required,0..1,,IECorePractitionerRole,PractitionerRole.telecom,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.communicationDetails
PS,2.10.1,Telephone number,,Required,0..*,Numeric and may include the + symbol,IECorePractitionerRole,PractitionerRole.telecom,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.communicationDetails.telephoneNumber
PS,2.10.2,Email address,,Required,0..*,Alpha-numeric,IECorePractitionerRole,PractitionerRole.telecom,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.communicationDetails.emailAddress
PS,2.10.3,Other Communication details (cluster),,Optional,0..*,,IECorePractitionerRole,PractitionerRole.telecom,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.communicationDetails.otherCommunicationDetails
PS,2.10.3.1,Communication details – Type,,Optional,0..*,Coded value,IECorePractitionerRole,PractitionerRole.telecom.system,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.communicationDetails.otherCommunicationDetails.communicationDetailsType
PS,2.10.3.2,Communication Details – Value,,Optional,0..*,Alpha-numeric,IECorePractitionerRole,PractitionerRole.telecom.value,Y,Aligned,,HIQAPatientSummaryLM.healthPractitionerDetails.communicationDetails.otherCommunicationDetails.communicationDetailsValue
PS,2.11,Location ID (GLN),,Required,0..1,Numeric,IECoreLocation,Location.identifier,Y,Partial,no GLN slice,HIQAPatientSummaryLM.healthPractitionerDetails.locationIdGln
PS,2.12,GMS Panel ID,,Optional,0..1,Numeric,IECoreOrganization,,N,Gap,would sit under Organization.identifier; no GMS Panel ID system,HIQAPatientSummaryLM.healthPractitionerDetails.gmsPanelId
PS,3.1,Forename of nominated contact person,,Required,0..1,Free text,IECorePatientSummaryPatient,Patient.contact.name.given,Y,Aligned,,HIQAPatientSummaryLM.nominatedContactPerson.forenameOfNominatedContactPerson
PS,3.2,Surname of nominated contact person,,Required,0..1,Free text,IECorePatientSummaryPatient,Patient.contact.name.family,Y,Aligned,,HIQAPatientSummaryLM.nominatedContactPerson.surnameOfNominatedContactPerson
PS,3.3,Role of the nominated contact person,,Required,0..*,Coded value,IECorePatientSummaryPatient,Patient.contact.relationship,Y,Aligned,role,HIQAPatientSummaryLM.nominatedContactPerson.roleOfTheNominatedContactPerson
PS,3.4,Relationship,,Required,0..1,Coded value,IECorePatientSummaryPatient,Patient.contact.relationship,Y,Aligned,relationship,HIQAPatientSummaryLM.nominatedContactPerson.relationship
PS,3.5,Communication details of nominated contact person (cluster),,Required,0..1,,IECorePatientSummaryPatient,Patient.contact.telecom,Y,Aligned,,HIQAPatientSummaryLM.nominatedContactPerson.communicationDetailsOfNominatedContactPerson
PS,3.5.1,Mobile phone number of nominated contact person,,Required,0..1,Numeric and may include the + symbol,IECorePatientSummaryPatient,Patient.contact.telecom,Y,Aligned,mobile,HIQAPatientSummaryLM.nominatedContactPerson.communicationDetailsOfNominatedContactPerson.mobilePhoneNumberOfNominatedContactPerson
PS,3.5.2,Landline phone number of nominated contact person,,Required,0..1,Numeric and may include the + symbol,IECorePatientSummaryPatient,Patient.contact.telecom,Y,Aligned,landline,HIQAPatientSummaryLM.nominatedContactPerson.communicationDetailsOfNominatedContactPerson.landlinePhoneNumberOfNominatedContactPerson
PS,3.5.3,Email address of nominated contact person,,Required,0..1,Alpha-numeric Character to include @ symbol,IECorePatientSummaryPatient,Patient.contact.telecom,Y,Aligned,email,HIQAPatientSummaryLM.nominatedContactPerson.communicationDetailsOfNominatedContactPerson.emailAddressOfNominatedContactPerson
PS,3.6,Address of nominated contact person (cluster),,Optional,0..1,,IECorePatientSummaryPatient,Patient.contact.address,N,Aligned,,HIQAPatientSummaryLM.nominatedContactPerson.addressOfNominatedContactPerson
PS,3.6.1,Postcode,,Required,0..1,Alpha-numeric,IECorePatientSummaryPatient,Patient.contact.address.postalCode,Y,Aligned,,HIQAPatientSummaryLM.nominatedContactPerson.addressOfNominatedContactPerson.postcode
PS,3.6.2,Address line(s),,Mandatory,1..1,Free text,IECorePatientSummaryPatient,Patient.contact.address.line,N,Aligned,Mandatory within the contact-address cluster: line 1..*,HIQAPatientSummaryLM.nominatedContactPerson.addressOfNominatedContactPerson.addressLineS
PS,3.6.3,Suburb/ Town/ Townland/ Locality,,Required,0..1,Free text,IECorePatientSummaryPatient,Patient.contact.address.city,Y,Aligned,,HIQAPatientSummaryLM.nominatedContactPerson.addressOfNominatedContactPerson.suburbTownTownlandLocality
PS,3.6.4,District/ County/ City (if outside Ireland).,,Mandatory,1..1,Coded Value,IECorePatientSummaryPatient,Patient.contact.address.state,N,Aligned,Mandatory within the contact-address cluster: state 1..1,HIQAPatientSummaryLM.nominatedContactPerson.addressOfNominatedContactPerson.districtCountyCityIfOutsideIreland
PS,3.6.5,Country,,Required,0..1,Coded value,IECorePatientSummaryPatient,Patient.contact.address.country,Y,Aligned,,HIQAPatientSummaryLM.nominatedContactPerson.addressOfNominatedContactPerson.country
